날짜,학생ID,학생명,과목,AI도구,활용목적,프롬프트유형,대화턴수,소요(분),피드백수용여부,결과반영도(1-5),교사검토여부,사용맥락
2026-05-24,S30305,송연희,과학,학습분석대시보드,문제풀이지원,열린질문,8,15,수용,3.3,미검토,예습
2026-05-24,S30310,허혜율,과학,학습분석대시보드,코드리뷰,예시요청,5,11,수용,3.1,미검토,자기주도탐구
2026-05-25,S30302,강도민,과학,코드보조도구,피드백요청,열린질문,4,6,수용,3.7,검토중,수업중
2026-05-25,S30306,강하은,과학,학습분석대시보드,개념질문,역할부여형,4,7,수용,4,미검토,예습
2026-05-25,S30308,안하연,과학,학습분석대시보드,아이디어생성,역할부여형,6,12,수용,1.9,검토중,복습
2026-05-25,S30313,신하윤,과학,지능형튜터링시스템,아이디어생성,열린질문,5,10,수용,5,검토완료,자기주도탐구
2026-05-25,S30315,박시호,과학,지능형튜터링시스템,번역,오류교정요청,7,14,수용,5,검토중,복습
2026-05-25,S30320,조선우,과학,챗봇형AI,문제풀이지원,예시요청,7,12,수용,1.9,검토완료,복습
2026-05-25,S30325,양혁율,과학,지능형튜터링시스템,코드리뷰,오류교정요청,1,1,수용,3.5,검토중,예습
2026-05-25,S30325,양혁율,과학,음성인식평가도구,코드리뷰,단계적추론요청,4,8,부분수용,2.5,검토완료,과제수행
2026-05-26,S30301,신도미,과학,지능형튜터링시스템,아이디어생성,역할부여형,6,11,수용,2.5,검토완료,수업중
2026-05-26,S30302,강도민,과학,음성인식평가도구,문제풀이지원,역할부여형,5,9,부분수용,3.7,검토완료,자기주도탐구
2026-05-26,S30302,강도민,과학,학습분석대시보드,개념질문,단계적추론요청,2,3,수용,3,미검토,과제수행
2026-05-26,S30310,허혜율,과학,지능형튜터링시스템,오답분석,역할부여형,7,15,부분수용,2.8,검토중,수업중
2026-05-26,S30312,유선민,과학,코드보조도구,문제풀이지원,예시요청,1,4,수용,2.1,검토중,복습
2026-05-26,S30320,조선우,과학,음성인식평가도구,오답분석,열린질문,1,1,수용,2.8,검토중,자기주도탐구
2026-05-26,S30322,허주현,과학,음성인식평가도구,오답분석,단계적추론요청,4,7,부분수용,3,미검토,수업중
2026-05-27,S30302,강도민,과학,코드보조도구,문제풀이지원,단답형,6,11,수용,2.7,검토중,예습
2026-05-27,S30304,전시준,과학,이미지생성AI,자료요약,열린질문,6,9,부분수용,1.9,검토완료,자기주도탐구
2026-05-27,S30306,강하은,과학,챗봇형AI,자료요약,예시요청,1,2,부분수용,3.4,검토중,자기주도탐구
2026-05-27,S30310,허혜율,과학,음성인식평가도구,자료요약,열린질문,7,16,수용,2.8,미검토,복습
2026-05-27,S30312,유선민,과학,학습분석대시보드,피드백요청,단계적추론요청,6,14,수용,1.8,검토중,예습
2026-05-27,S30316,서시은,과학,음성인식평가도구,자료요약,단답형,1,3,수용,3.2,검토완료,수업중
