학생ID,학생명,시점,설문일,과목흥미도,학습동기,자기효능감,AI수용도,협업선호도,성장마인드셋,몰입도,학업스트레스,문항평균
S30301,신도미,사전,2026-05-23,3.2,2.9,4.8,4.1,4.6,2.8,1.5,2.3,3.3
S30301,신도미,사후,2026-07-18,4.1,3,5,4.6,4.5,3.1,1.5,2.3,3.5
S30302,강도민,사전,2026-05-23,4,4,3.7,4.7,3.8,3.1,2.2,2.8,3.5
S30302,강도민,사후,2026-07-18,4.2,4.5,4,4.9,4.1,4,2,2.6,3.8
S30303,서준미,사전,2026-05-23,3.2,3.9,4.3,2.6,1.6,3.3,4.1,3.7,3.3
S30303,서준미,사후,2026-07-18,3.6,4.3,4.4,3.6,2,3.6,4.8,3.3,3.7
S30304,전시준,사전,2026-05-23,3.4,3.7,3.3,3.6,3.4,2.9,2.4,2,3.1
S30304,전시준,사후,2026-07-18,3.7,3.6,4.1,3.7,3.7,3.4,2.4,2.2,3.4
S30305,송연희,사전,2026-05-23,3.2,1.8,2.6,3.4,5,3.2,3.1,2.7,3.1
S30305,송연희,사후,2026-07-18,3.3,1.9,2.8,3.6,4.8,3.2,2.9,2.3,3.1
S30306,강하은,사전,2026-05-23,2.4,2.4,2.8,1,1.8,3.5,4.2,2.9,2.6
S30306,강하은,사후,2026-07-18,3.2,3,3.2,1,2.5,3.7,4.7,3,3
S30307,김성희,사전,2026-05-23,2.9,2.3,2.7,1.5,4.4,3.2,2.2,2.2,2.7
S30307,김성희,사후,2026-07-18,3.3,2.8,4,2.5,4.4,4,2.3,2.4,3.2
S30308,안하연,사전,2026-05-23,3.5,3.6,2.7,3.3,5,3.9,1.6,2.6,3.3
S30308,안하연,사후,2026-07-18,4.3,5,3.8,3.6,5,4.8,2,2,3.8
S30309,안지경,사전,2026-05-23,2.3,3.1,3,2.1,3.9,4.5,3.3,1,2.9
S30309,안지경,사후,2026-07-18,2.8,3.6,4.3,3.3,4.3,5,4.7,1,3.6
S30310,허혜율,사전,2026-05-23,4,1.9,2.8,4,5,3.4,2.9,2.9,3.4
S30310,허혜율,사후,2026-07-18,4,1.4,3,3.7,5,3.6,3,2.9,3.3
S30311,강하수,사전,2026-05-23,1.9,4.1,2.5,5,3,3.4,1.4,2.4,3
S30311,강하수,사후,2026-07-18,1.8,4.2,2.4,4.9,2.8,3.5,1.1,2.5,2.9
S30312,유선민,사전,2026-05-23,4.1,2.8,4.6,3.7,2.9,3.8,3.7,3.4,3.6
S30312,유선민,사후,2026-07-18,4.6,3.2,5,4,2.8,4.5,3.9,3.4,3.9
S30313,신하윤,사전,2026-05-23,4.4,3.8,3.3,4.2,4.2,3.7,2.8,3,3.7
S30313,신하윤,사후,2026-07-18,5,4.3,3.5,4.8,4.3,3.8,3.5,2.5,4
S30314,장진지,사전,2026-05-23,2.6,3.5,3.1,3.3,5,2.6,3.3,2.9,3.3
S30314,장진지,사후,2026-07-18,2.7,3.9,3,3.2,4.9,2.5,3.6,2.5,3.3
S30315,박시호,사전,2026-05-23,3.9,3.7,2.1,4.9,4,3.1,3,3.4,3.5
S30315,박시호,사후,2026-07-18,4.3,4.4,2.2,5,4.1,3.5,3.4,3.4,3.8
S30316,서시은,사전,2026-05-23,3.5,3.4,2.6,2.8,2.7,4,2.7,3.5,3.2
S30316,서시은,사후,2026-07-18,3.3,3.3,3,3,3.3,4,2.7,3.6,3.3
S30317,손은호,사전,2026-05-23,3.5,2.4,3.4,1.9,4,2.8,2.4,2.9,2.9
S30317,손은호,사후,2026-07-18,3.8,2.6,3.7,1.3,4.2,3.3,2.9,2.8,3.1
S30318,오진율,사전,2026-05-23,3.6,2.3,3.4,4.3,4.7,3.5,2.8,2.6,3.4
S30318,오진율,사후,2026-07-18,3.3,2.6,3.7,4.9,4.9,3.7,2.6,1.9,3.5
S30319,남유원,사전,2026-05-23,2.9,2.8,3,2.4,4,1.9,3.5,2.8,2.9
S30319,남유원,사후,2026-07-18,3.4,2.6,3.1,2.3,3.7,2.2,3.9,2.8,3
S30320,조선우,사전,2026-05-23,3.2,3.8,3.2,3.4,4.8,3.5,1.1,2.9,3.2
S30320,조선우,사후,2026-07-18,3.7,3.5,3.3,4.5,4.6,3.9,1.2,2.6,3.4
S30321,유선희,사전,2026-05-23,3.1,3.2,3.5,3.2,4.2,3.9,3.2,2.6,3.4
S30321,유선희,사후,2026-07-18,4.9,4.3,3.8,4,4.7,4.6,3.9,1.4,3.9
S30322,허주현,사전,2026-05-23,4.4,2.9,2.3,3.7,2.4,3.7,3.9,2.3,3.2
S30322,허주현,사후,2026-07-18,4.8,2.3,2,3.3,2.6,3.5,4.1,2.5,3.1
S30323,오진은,사전,2026-05-23,3.6,3,3.1,1.7,1.9,3.3,4.2,2.7,2.9
S30323,오진은,사후,2026-07-18,3.9,3.4,2.9,2,2,3.3,3.6,2.5,3
S30324,배서경,사전,2026-05-23,3.2,3.2,3.4,1,4.1,3.2,2.7,3.6,3.1
S30324,배서경,사후,2026-07-18,3.7,3.5,3.7,1,4,3.1,2.1,3.5,3.1
S30325,양혁율,사전,2026-05-23,3.4,2.9,3.9,2.6,4.4,3.2,3.3,1.8,3.2
S30325,양혁율,사후,2026-07-18,4.2,3.6,4.4,3.4,4.6,3.9,3.9,1,3.6
S30326,유진민,사전,2026-05-23,3.1,3.1,3.2,3.4,1,3.3,3.1,2.9,2.9
S30326,유진민,사후,2026-07-18,3.4,3.1,3.9,3.5,1.3,3.9,3.2,2.6,3.1
