활동명,활동일,모둠번호,학생ID,학생명,역할,발화수,기여도(1-5),동료평가(1-5),산출물완성도(1-5),모둠역할수행도(1-5)
데이터탐구 프로젝트,2026-06-20,1,S30319,남유원,기록이,29,2.9,3,2.8,3
데이터탐구 프로젝트,2026-06-20,1,S30301,신도미,자료조사,37,4.2,3.8,3.5,3.8
데이터탐구 프로젝트,2026-06-20,1,S30320,조선우,자료조사,31,4.9,4.3,4.1,4.8
데이터탐구 프로젝트,2026-06-20,1,S30304,전시준,점검이,29,3.5,3.4,3.1,3.6
데이터탐구 프로젝트,2026-06-20,2,S30321,유선희,발표이,32,4.1,4.3,3.8,4.3
데이터탐구 프로젝트,2026-06-20,2,S30312,유선민,기록이,28,2.8,2.5,3.4,2.9
데이터탐구 프로젝트,2026-06-20,2,S30306,강하은,기록이,24,1.7,1.7,4.5,1.7
데이터탐구 프로젝트,2026-06-20,2,S30309,안지경,이끔이,16,4.2,4.7,3.8,4.8
데이터탐구 프로젝트,2026-06-20,3,S30308,안하연,이끔이,33,5,4.9,3.9,5
데이터탐구 프로젝트,2026-06-20,3,S30313,신하윤,점검이,26,3.8,3.7,3,3.3
데이터탐구 프로젝트,2026-06-20,3,S30325,양혁율,이끔이,25,4.1,4,3,4
데이터탐구 프로젝트,2026-06-20,3,S30323,오진은,점검이,7,2.3,2.6,4.7,2.7
데이터탐구 프로젝트,2026-06-20,4,S30302,강도민,자료조사,25,3,3.2,2.6,3.3
데이터탐구 프로젝트,2026-06-20,4,S30307,김성희,점검이,31,4.7,4.6,2.4,4.9
데이터탐구 프로젝트,2026-06-20,4,S30318,오진율,발표이,32,5,4.5,3.4,5
데이터탐구 프로젝트,2026-06-20,4,S30311,강하수,기록이,23,2.7,2.7,4.4,2.5
데이터탐구 프로젝트,2026-06-20,5,S30315,박시호,자료조사,28,4.1,4.4,3,3.5
데이터탐구 프로젝트,2026-06-20,5,S30317,손은호,점검이,31,4.8,5,4,5
데이터탐구 프로젝트,2026-06-20,5,S30322,허주현,발표이,12,3.2,2.9,3.2,2.5
데이터탐구 프로젝트,2026-06-20,5,S30310,허혜율,기록이,23,5,5,4.3,5
데이터탐구 프로젝트,2026-06-20,6,S30326,유진민,자료조사,19,1,1,3.2,1
데이터탐구 프로젝트,2026-06-20,6,S30314,장진지,점검이,33,4.3,4.3,3.5,5
데이터탐구 프로젝트,2026-06-20,6,S30316,서시은,점검이,25,1.9,1.9,3.3,2.3
데이터탐구 프로젝트,2026-06-20,6,S30303,서준미,자료조사,16,3.4,3.4,3.5,3.3
데이터탐구 프로젝트,2026-06-20,7,S30305,송연희,기록이,33,4,3.7,4.7,4.1
데이터탐구 프로젝트,2026-06-20,7,S30324,배서경,이끔이,25,5,5,3.6,4.9
토론활동,2026-07-04,1,S30301,신도미,자료조사,27,4.1,4.7,4.2,4.2
토론활동,2026-07-04,1,S30302,강도민,자료조사,19,2.8,2.6,3.6,2.5
토론활동,2026-07-04,1,S30311,강하수,이끔이,22,2.4,2.6,4.5,2.8
토론활동,2026-07-04,1,S30318,오진율,자료조사,40,5,4.4,3.3,5
