학생ID,학생명,차시번호,차시명,문항번호,문항유형,성취영역,성취기준코드,정답여부,풀이시간(초),재시도횟수,오류유형,AI도움사용,실시일
S30301,신도미,1,국어 1차시,1,단답형,문법,국1-01,오답,65,1,문제해석오류,아니오,2026-06-27
S30301,신도미,1,국어 1차시,2,수행형,듣기말하기,국1-02,정답,71,1,,예,2026-06-27
S30301,신도미,1,국어 1차시,3,단답형,읽기,국1-03,오답,103,1,공식적용오류,예,2026-06-27
S30301,신도미,1,국어 1차시,4,선택형,듣기말하기,국1-04,정답,91,0,,아니오,2026-06-27
S30301,신도미,1,국어 1차시,5,선택형,문법,국1-05,정답,75,0,,아니오,2026-06-27
S30301,신도미,2,국어 2차시,1,서술형,문학,국2-01,오답,66,3,시간부족,아니오,2026-07-04
S30301,신도미,2,국어 2차시,2,단답형,쓰기,국2-02,오답,77,2,공식적용오류,예,2026-07-04
S30301,신도미,2,국어 2차시,3,수행형,읽기,국2-03,정답,37,0,,예,2026-07-04
S30301,신도미,2,국어 2차시,4,서술형,문법,국2-04,오답,37,1,공식적용오류,예,2026-07-04
S30301,신도미,2,국어 2차시,5,단답형,문법,국2-05,오답,81,1,문제해석오류,아니오,2026-07-04
S30301,신도미,3,국어 3차시,1,수행형,쓰기,국3-01,오답,82,1,계산실수,아니오,2026-07-11
S30301,신도미,3,국어 3차시,2,수행형,쓰기,국3-02,정답,48,0,,아니오,2026-07-11
S30301,신도미,3,국어 3차시,3,선택형,문학,국3-03,정답,66,0,,예,2026-07-11
S30301,신도미,3,국어 3차시,4,선택형,문법,국3-04,정답,55,0,,아니오,2026-07-11
S30301,신도미,3,국어 3차시,5,선택형,문법,국3-05,정답,15,1,,예,2026-07-11
S30301,신도미,4,국어 4차시,1,수행형,읽기,국4-01,오답,80,3,계산실수,예,2026-07-18
S30301,신도미,4,국어 4차시,2,수행형,쓰기,국4-02,오답,51,3,답형식오류,아니오,2026-07-18
S30301,신도미,4,국어 4차시,3,수행형,듣기말하기,국4-03,정답,36,0,,아니오,2026-07-18
S30301,신도미,4,국어 4차시,4,단답형,문학,국4-04,오답,10,3,공식적용오류,아니오,2026-07-18
S30301,신도미,4,국어 4차시,5,단답형,듣기말하기,국4-05,정답,76,0,,예,2026-07-18
S30302,강도민,1,국어 1차시,1,수행형,쓰기,국1-01,오답,59,3,시간부족,예,2026-06-27
S30302,강도민,1,국어 1차시,2,서술형,문학,국1-02,정답,52,0,,예,2026-06-27
S30302,강도민,1,국어 1차시,3,단답형,듣기말하기,국1-03,정답,43,0,,아니오,2026-06-27
S30302,강도민,1,국어 1차시,4,수행형,읽기,국1-04,정답,65,1,,예,2026-06-27
S30302,강도민,1,국어 1차시,5,단답형,문학,국1-05,정답,91,0,,예,2026-06-27
S30302,강도민,2,국어 2차시,1,서술형,문학,국2-01,정답,42,0,,아니오,2026-07-04
S30302,강도민,2,국어 2차시,2,선택형,문법,국2-02,정답,30,0,,아니오,2026-07-04
